,explanation,type,latency,match,label,row,prediction
10,"{'ltable_authors': 0.7426489604719219, 'ltable_title': 1.8690053766834478, 'ltable_venue': 0.010673764030979355, 'ltable_year': 0.2019617081853769, 'rtable_authors': 0.46664054489106194, 'rtable_title': 0.35184813147330957, 'rtable_venue': -0.20478378433186395, 'rtable_year': 0.07939212164720735}",landmark,232.9114199709984,0.0,0.0,2579-42314,[9.9997663e-01 2.3358418e-05]
11,"{'ltable_authors': 0.9776294049610187, 'ltable_title': 0.348856629629727, 'ltable_venue': -0.02236705060228427, 'ltable_year': 0.3695353111100439, 'rtable_authors': 0.5559154557023058, 'rtable_title': 0.4768605933971747, 'rtable_venue': -0.03315249328931707, 'rtable_year': 0.3219384820278809}",landmark,233.12698440199893,0.0,0.0,696-46108,[9.9997985e-01 2.0128369e-05]
12,"{'ltable_authors': 0.007713070534527435, 'ltable_title': 0.8847350106403346, 'ltable_venue': 0.3509034163956054, 'ltable_year': 0.2691288705266048, 'rtable_authors': 0.5823082711036036, 'rtable_title': 1.5692328397521014, 'rtable_venue': 0.06160716028569878, 'rtable_year': 0.11040722941012561}",landmark,236.09890932100097,0.0,0.0,659-12273,[9.9998140e-01 1.8541718e-05]
13,"{'ltable_authors': 0.6060977036769395, 'ltable_title': 1.2280288015016299, 'ltable_venue': 0.4009243931151714, 'ltable_year': 0.13734520969802355, 'rtable_authors': 0.3484254680031386, 'rtable_title': 0.4177134301789088, 'rtable_venue': 0.40513783138767845, 'rtable_year': -0.007747836914398718}",landmark,231.05985161100034,0.0,0.0,612-42439,[9.9998188e-01 1.8167533e-05]
14,"{'ltable_authors': 0.09092535261322557, 'ltable_title': 1.0016383276064138, 'ltable_venue': 0.09931767796714593, 'ltable_year': 0.23731497360510556, 'rtable_authors': 0.400930895453096, 'rtable_title': 1.1869038865704016, 'rtable_venue': 0.26962402687038023, 'rtable_year': 0.07919684216330417}",landmark,254.1721232500022,0.0,0.0,2185-10241,[9.999794e-01 2.056568e-05]
15,"{'ltable_authors': 0.20272500773287497, 'ltable_title': 0.051473536404644055, 'ltable_venue': -0.007045268218719272, 'ltable_year': 0.055170182185550594, 'rtable_authors': 0.6121782753676303, 'rtable_title': 0.9301186936631418, 'rtable_venue': 0.09390683314164411, 'rtable_year': 0.05607895201714341}",landmark,230.9426407380015,0.0,0.0,980-58492,[9.9997413e-01 2.5872019e-05]
16,"{'ltable_authors': 0.5345671261397467, 'ltable_title': 1.3419596054485978, 'ltable_venue': -0.18256660897588398, 'ltable_year': 0.29481749528627366, 'rtable_authors': 0.6894391984132012, 'rtable_title': 0.7328855926158051, 'rtable_venue': -0.1346111467527771, 'rtable_year': -0.01654953879750613}",landmark,231.59595403500134,0.0,0.0,603-1832,[9.9997902e-01 2.0972713e-05]
17,"{'ltable_authors': 0.1467703311531862, 'ltable_title': 1.9821001438665558, 'ltable_venue': -0.08881685070359051, 'ltable_year': 0.03544500619574737, 'rtable_authors': 0.4662550616185262, 'rtable_title': 0.5519443426418196, 'rtable_venue': 0.35363287736920956, 'rtable_year': -0.01852786464725046}",landmark,615.6522578059994,0.0,0.0,2310-35508,[9.9997962e-01 2.0427253e-05]
18,"{'ltable_authors': 0.38840231579279083, 'ltable_title': 0.9944601415221727, 'ltable_venue': -0.10273885625646773, 'ltable_year': 0.3742695173172693, 'rtable_authors': 1.0593182118606383, 'rtable_title': 0.7698222375358951, 'rtable_venue': -0.5433287444686014, 'rtable_year': 0.15136663071061585}",landmark,281.0316403590041,0.0,0.0,1084-26734,[9.9997914e-01 2.0883899e-05]
19,"{'ltable_authors': 0.08006239178419863, 'ltable_title': 1.5322343140383634, 'ltable_venue': 0.048739429906208984, 'ltable_year': 0.03136847394445455, 'rtable_authors': 0.7780240107894844, 'rtable_title': 0.5456966712854743, 'rtable_venue': 0.11791539207180626, 'rtable_year': 0.0964540602925576}",landmark,236.92775452899514,0.0,0.0,1883-15003,[9.9997354e-01 2.6461228e-05]
20,"{'ltable_authors': 1.3730931238786108, 'ltable_title': 1.7155972782872522, 'ltable_venue': 0.16162491338094412, 'ltable_year': 0.0976627363562507, 'rtable_authors': -0.1240873484141749, 'rtable_title': 0.31167106670785305, 'rtable_venue': -0.06102787152281357, 'rtable_year': 0.06182208341238524}",landmark,233.00820250700053,0.0,0.0,2036-47255,[9.9998057e-01 1.9384581e-05]
21,"{'ltable_authors': 0.0914256458372002, 'ltable_title': 0.5620377747120775, 'ltable_venue': 0.18573759204871684, 'ltable_year': 0.24699435759243213, 'rtable_authors': 0.9257273370131999, 'rtable_title': 0.3039010422628512, 'rtable_venue': 0.5243015404592386, 'rtable_year': 0.2798811915679509}",landmark,229.77981232399907,0.0,0.0,2588-7916,[9.999368e-01 6.312190e-05]
22,"{'ltable_authors': 0.6630759657999653, 'ltable_title': 1.049216311406236, 'ltable_venue': 0.09763999831315484, 'ltable_year': -0.002520332378308807, 'rtable_authors': 0.6412750160330615, 'rtable_title': 0.8402984176404673, 'rtable_venue': 0.0042797676858802374, 'rtable_year': 0.07587357558807656}",landmark,231.4873693690024,0.0,0.0,800-29677,[9.9997973e-01 2.0261912e-05]
23,"{'ltable_authors': 0.539134987551697, 'ltable_title': 0.8551662190472321, 'ltable_venue': 0.2581837546316423, 'ltable_year': 0.24827434139313587, 'rtable_authors': 0.6704828807442293, 'rtable_title': 0.44593698374523355, 'rtable_venue': 0.10858858667327644, 'rtable_year': 0.031300190305501}",landmark,244.48158846499427,0.0,0.0,806-6887,[9.998921e-01 1.078549e-04]
24,"{'ltable_authors': 0.7410975315056978, 'ltable_title': 1.1072465309840007, 'ltable_venue': 0.2122895860109491, 'ltable_year': 0.19726630368667286, 'rtable_authors': 0.4278763324624023, 'rtable_title': 0.33741997015995107, 'rtable_venue': 0.016378290476746556, 'rtable_year': 0.15129993618003815}",landmark,228.60081717200228,0.0,0.0,925-52718,[9.9996543e-01 3.4627585e-05]
25,"{'ltable_authors': 0.30804334134744477, 'ltable_title': 1.9448058364480056, 'ltable_venue': 0.21731091446755793, 'ltable_year': 0.23648214507167017, 'rtable_authors': 0.23519852019828305, 'rtable_title': 0.3035535751466609, 'rtable_venue': -0.10937238677733403, 'rtable_year': -0.011207868974232763}",landmark,227.74033763600164,0.0,0.0,1856-43531,[9.9998045e-01 1.9491430e-05]
26,"{'ltable_authors': 1.5872840649238915, 'ltable_title': 1.069659486548434, 'ltable_venue': 0.1775130268036576, 'ltable_year': 0.23342148586190342, 'rtable_authors': 0.2564349940818407, 'rtable_title': 0.12572782955764922, 'rtable_venue': -0.0749171931526959, 'rtable_year': 0.010559143651986102}",landmark,228.32892757900117,0.0,0.0,74-40649,[9.9997056e-01 2.9388228e-05]
27,"{'ltable_authors': 0.18848549669333642, 'ltable_title': 1.0233160640774295, 'ltable_venue': 0.003956694339305296, 'ltable_year': 0.11498970759917904, 'rtable_authors': 0.7252038247399977, 'rtable_title': 1.3531653150338054, 'rtable_venue': -0.021084433234734773, 'rtable_year': 0.06537566684377437}",landmark,228.45368476199656,0.0,0.0,2538-15659,[9.9997866e-01 2.1378402e-05]
28,"{'ltable_authors': 0.2248556571159091, 'ltable_title': 0.5725443242067999, 'ltable_venue': 0.03368452405396879, 'ltable_year': 0.21896466280838903, 'rtable_authors': 0.7435123678661211, 'rtable_title': 1.1213851161196973, 'rtable_venue': 0.3742217067162374, 'rtable_year': 0.12977792403974234}",landmark,228.0569410129974,0.0,0.0,19-6261,[9.9998093e-01 1.9022804e-05]
29,"{'ltable_authors': -0.1520761420234758, 'ltable_title': 0.9950157376968737, 'ltable_venue': 0.11546541608297468, 'ltable_year': 0.17857918258059616, 'rtable_authors': 0.6773105759845376, 'rtable_title': 0.6521998683355038, 'rtable_venue': 0.020905182709335765, 'rtable_year': 0.2689257731515563}",landmark,233.96244378800475,0.0,0.0,1391-10963,[9.9997771e-01 2.2288867e-05]
30,"{'ltable_authors': -0.12515650696544753, 'ltable_title': 2.25623314422922, 'ltable_venue': 0.08337327089533438, 'ltable_year': 0.14043100855062135, 'rtable_authors': 0.48166127951906484, 'rtable_title': 0.15757483061081898, 'rtable_venue': 0.1505375646592484, 'rtable_year': 0.010102398504613244}",landmark,233.86678673799906,0.0,0.0,2113-4298,[9.9997783e-01 2.2181275e-05]
31,"{'ltable_authors': 0.5313950401386804, 'ltable_title': 1.3928091176917925, 'ltable_venue': 0.14166088843011818, 'ltable_year': 0.04769762361630419, 'rtable_authors': 0.09116442749685709, 'rtable_title': 1.1267989632331, 'rtable_venue': -0.23359384129138902, 'rtable_year': 0.03897219355905539}",landmark,393.50513492699974,0.0,0.0,997-53122,[9.9998069e-01 1.9333056e-05]
32,"{'ltable_authors': 0.1876163489013401, 'ltable_title': 0.9124665087180484, 'ltable_venue': 0.13269113682645475, 'ltable_year': 0.27643475025254244, 'rtable_authors': 0.04976832350071772, 'rtable_title': 0.6908525478006502, 'rtable_venue': 0.07148960565187021, 'rtable_year': 0.051024631277212844}",landmark,234.40882535600394,0.0,0.0,667-8795,[9.9994016e-01 5.9844711e-05]
33,"{'ltable_authors': 1.5428698640535023, 'ltable_title': 0.07160836151035539, 'ltable_venue': 0.04785390688637311, 'ltable_year': -0.012323472337004036, 'rtable_authors': 0.444195846412767, 'rtable_title': 0.43197553339554384, 'rtable_venue': 0.03381486332949769, 'rtable_year': 0.08747200082397527}",landmark,233.3643557750038,0.0,0.0,2076-38242,[9.9998105e-01 1.8961531e-05]
34,"{'ltable_authors': 0.17628470913872443, 'ltable_title': 0.23760709481583217, 'ltable_venue': 0.533296815027783, 'ltable_year': 0.36878636117633246, 'rtable_authors': 0.532311975634498, 'rtable_title': 0.10687302573197564, 'rtable_venue': 1.7539635584606368, 'rtable_year': 0.19709656478404664}",landmark,235.12708184200164,0.0,0.0,425-50887,[9.9997497e-01 2.4980043e-05]
35,"{'ltable_authors': 0.7977083686626201, 'ltable_title': 0.18523605509668303, 'ltable_venue': -0.11807490531758662, 'ltable_year': 0.11300441065279067, 'rtable_authors': 0.20420009638310171, 'rtable_title': 0.09536302319335277, 'rtable_venue': 0.04098843082595913, 'rtable_year': 0.059037947603349024}",landmark,232.8363236219957,0.0,0.0,1487-16499,[9.9997771e-01 2.2254966e-05]
36,"{'ltable_authors': 0.6856348288905456, 'ltable_title': 1.2085006098445494, 'ltable_venue': 0.1400556456171951, 'ltable_year': 0.1424148737959839, 'rtable_authors': 0.3757237431345435, 'rtable_title': 0.2551499264027644, 'rtable_venue': 0.06111106956508042, 'rtable_year': 0.0061221789673760445}",landmark,312.4356370739988,0.0,0.0,1785-42348,[9.9997962e-01 2.0351807e-05]
37,"{'ltable_authors': 0.879631206352432, 'ltable_title': 0.9820235117955429, 'ltable_venue': 0.05113269792492738, 'ltable_year': 0.019833067129879395, 'rtable_authors': 0.19045673380168246, 'rtable_title': 0.7554412205144049, 'rtable_venue': 0.0911305356420468, 'rtable_year': 0.02008837087737815}",landmark,249.45380734400533,0.0,0.0,1357-50278,[9.9997544e-01 2.4569028e-05]
38,"{'ltable_authors': 0.40366619556573846, 'ltable_title': 1.5523140229632366, 'ltable_venue': -0.042382167825815636, 'ltable_year': 0.07130390231920941, 'rtable_authors': 0.7842900870917421, 'rtable_title': 0.5090615641190015, 'rtable_venue': 0.1490929973433484, 'rtable_year': -0.004789024213256073}",landmark,254.23488558801182,0.0,0.0,1640-55264,[9.9997663e-01 2.3335773e-05]
39,"{'ltable_authors': 0.1602244773907598, 'ltable_title': 2.3158714670329252, 'ltable_venue': 0.13009311750736108, 'ltable_year': 0.17067119195390734, 'rtable_authors': 0.19622763364869988, 'rtable_title': 0.2495313905337761, 'rtable_venue': 0.1451408404306336, 'rtable_year': 0.11590255761376467}",landmark,247.38817514000402,0.0,0.0,2213-26608,[9.9998069e-01 1.9282823e-05]
40,"{'ltable_authors': 0.5054278827206262, 'ltable_title': 1.5537930641319977, 'ltable_venue': -0.07738649265733077, 'ltable_year': 0.10801591748882668, 'rtable_authors': 0.34398817387039604, 'rtable_title': 0.8128064431629152, 'rtable_venue': 0.04371425548438833, 'rtable_year': 0.06705160716354525}",landmark,236.17618571700586,0.0,0.0,2388-27440,[9.9998093e-01 1.9028717e-05]
41,"{'ltable_authors': 0.04157844778471799, 'ltable_title': 1.7593771014026354, 'ltable_venue': 0.1705544768951227, 'ltable_year': 0.0746463568340197, 'rtable_authors': 0.41978288642480943, 'rtable_title': 1.2786435077893814, 'rtable_venue': -0.48375988336042564, 'rtable_year': 0.08241478664090121}",landmark,235.89712493499974,0.0,0.0,2510-18329,[9.9997866e-01 2.1359347e-05]
42,"{'ltable_authors': 0.0002780976304216866, 'ltable_title': 0.00047067530795069743, 'ltable_venue': 8.84493796588691e-05, 'ltable_year': -0.0001179470663576946, 'rtable_authors': 0.0022765562805652307, 'rtable_title': 0.0009908082281255442, 'rtable_venue': 0.0021137092307415666, 'rtable_year': 0.0010055065548383777}",landmark,258.3602004580025,0.0,0.0,479-14191,[9.999505e-01 4.943537e-05]
